Region,Date,Total Sales Amount,Total Units Sold,Market Trend Index
South,2023-05-30,385248.81,4490,35.42
East,2023-04-24,143419.25,2998,50.77
West,2023-07-05,407553.73,3319,4.27
North,2023-06-25,155471.83,2298,99.85
South,2023-06-04,314354.36,2219,10.23
East,2023-02-13,107318.82,1804,25.24
West,2023-08-01,358528.15,3588,37.42
North,2023-10-27,405822.63,3386,98.09
South,2023-11-02,175989.11,3476,14.89
East,2023-03-14,181855.28,4722,21.92
West,2023-11-19,214256.77,2346,55.21
North,2023-12-07,480892.77,4946,51.89
South,2023-05-10,347798.55,2563,44.49
East,2024-01-01,165338.5,4126,16.22
West,2023-04-10,427345.19,3850,50.25
North,2023-08-16,375079.98,1657,94.2
South,2023-05-25,490508.73,4178,99.64
East,2023-01-05,103824.46,3358,83.88
West,2023-04-26,449331.7,2343,23.47
North,2023-06-26,188291.01,3100,92.18
South,2023-11-04,103988.24,2723,93.77
East,2023-03-25,219857.8,2429,71.71
West,2023-02-17,133285.3,1834,95.27
North,2023-02-03,173283.31,1038,62.47
South,2023-08-26,361984.43,2817,24.61
East,2023-07-26,194119.54,3018,65.34
West,2023-05-24,305512.28,1169,83.13
North,2023-12-24,422221.99,2664,73.27
South,2023-12-31,410609.56,4747,24.73
East,2023-02-28,271918.11,4455,62.32
West,2023-05-17,444856.93,2532,91.6
North,2023-01-20,417016.9,2732,83.34
South,2023-08-15,368605.4,3575,1.2
East,2023-04-23,312101.79,2126,56.43
West,2023-10-30,309231.74,3666,4.64
North,2023-12-02,272952.76,3625,31.71
South,2023-03-27,121958.34,3922,4.7
East,2023-06-22,268657.82,3698,69.97
West,2023-11-30,251268.58,4049,1.44
North,2023-12-05,239159.43,4964,60.41
South,2023-06-20,371619.61,4997,31.41
East,2023-07-09,490112.74,1385,13.03
West,2023-08-22,107847.44,3500,2.8
North,2023-08-12,222541.07,2782,67.62
South,2023-09-23,465805.43,4667,70.31
East,2023-04-28,422950.68,4179,89.5
West,2023-09-16,156089.91,4027,61.22
North,2023-01-15,215934.15,2065,87.38
South,2023-03-28,413593.71,3094,56.57
East,2023-07-03,248810.36,2166,53.5
West,2023-12-27,198775.97,1721,51.92
North,2023-04-28,249360.29,3588,77.29
South,2023-08-18,327587.14,1571,27.96
East,2023-07-22,247669.28,2616,15.03
West,2023-11-18,113096.65,1667,4.16
North,2023-03-29,278785.04,1204,41.87
South,2023-02-03,408584.37,4354,81.79
East,2023-01-21,213652.32,2764,23.6
West,2023-05-11,455937.72,2672,2.46
North,2023-08-20,335795.75,1524,78.95
South,2023-04-07,451062.15,4898,82.68
East,2023-05-11,352233.16,3735,69.09
West,2023-03-10,286760.89,2513,35.91
North,2023-07-30,391504.03,1425,88.58
South,2023-04-07,184848.47,1965,92.13
East,2023-07-30,462346.4,3230,84.32
West,2023-06-14,196012.09,1660,84.04
North,2023-06-10,416741.32,4140,52.99
South,2023-06-13,308047.52,4278,76.09
East,2023-07-31,313062.26,1615,97.32
West,2023-12-29,240357.22,4092,63.99
North,2023-03-04,443211.21,1394,72.85
South,2023-07-16,389614.21,2497,82.67
East,2023-05-26,170446.65,3733,56.56
West,2023-12-18,182100.1,1661,54.15
North,2023-08-01,347065.6,2774,89.73
South,2023-05-31,427002.54,4114,40.46
East,2023-11-02,248793.09,2628,72.43
West,2023-05-13,140988.52,1453,73.24
North,2023-06-11,137702.04,2760,86.55
South,2023-01-19,367094.22,2293,61.88
East,2023-12-16,305364.58,1494,36.5
West,2023-09-05,198329.02,3946,91.93
North,2023-06-20,317013.23,1124,81.29
South,2023-05-18,460620.97,2594,11.58
East,2023-10-27,300364.28,1022,50.52
West,2023-04-07,210047.74,1516,60.19
North,2023-09-05,144284.8,4545,79.76
South,2023-01-20,115527.47,3387,29.37
East,2023-02-27,310227.29,3754,81.41
West,2023-03-08,491578.41,2878,4.62
North,2023-10-27,240869.54,2694,59.48
South,2023-10-03,479977.11,2393,54.36
East,2023-04-08,381177.2,2416,32.2
West,2023-05-29,183563.63,3144,65.25
North,2023-02-12,399076.86,2416,50.48
South,2023-05-04,416985.48,4739,94.94
East,2023-09-29,122830.62,3706,65.64
West,2023-01-02,362111.61,4058,41.96
North,2023-04-07,341451.7,2449,31.33
South,2023-07-01,229460.43,1445,77.62
East,2023-11-11,408098.05,3859,47.79
West,2023-09-06,174958.25,1667,37.81
North,2023-06-27,139966.03,1926,39.69
South,2023-12-16,425066.68,4145,34.21
East,2023-08-11,200356.21,3551,17.53
West,2023-10-16,180610.4,1609,44.68
North,2023-07-14,392515.53,2365,7.38
South,2023-11-05,122622.46,2749,73.06
East,2023-05-09,147295.69,1921,51.72
West,2023-11-05,133042.59,1792,97.93
North,2023-02-02,382672.91,2074,24.56
South,2023-12-06,392541.59,2109,50.68
East,2023-10-12,358412.56,4777,19.8
West,2023-05-23,169511.98,4507,48.11
North,2023-12-20,267721.03,4674,73.54
South,2023-07-17,391173.23,3011,82.95
East,2023-09-21,435025.17,1321,73.85
West,2023-01-14,289754.85,1287,99.99
North,2023-07-08,374852.11,4392,98.68
South,2023-03-20,280769.72,4988,85.9
East,2023-12-15,490725.63,4420,19.04
West,2023-06-10,342238.31,4853,45.57
North,2023-03-05,227089.93,2376,17.13
South,2023-04-21,426267.04,1343,77.68
East,2023-09-01,427063.11,2798,25.11
West,2023-11-10,352548.7,3181,17.86
North,2023-08-28,489048.34,3937,88.05
South,2023-10-04,375979.54,4307,23.26
East,2023-07-07,316975.36,3577,56.58
West,2023-07-30,234242.83,4206,88.32
North,2023-02-08,428996.02,3379,33.96
South,2023-05-23,467821.34,3822,76.69
East,2023-09-30,293262.59,2765,65.9
West,2023-12-06,213690.86,1785,34.92
North,2023-06-01,221916.77,1392,15.97
South,2023-10-20,151606.53,2940,71.1
East,2023-11-17,290732.04,2835,0.23
West,2023-11-04,266217.79,3284,96.02
North,2023-05-30,454386.87,1791,73.22
South,2023-01-16,445868.6,2530,92.44
East,2023-11-16,228666.35,1303,74.23
West,2023-05-15,472515.82,2392,16.01
North,2023-04-25,460233.3,1295,80.2
South,2023-11-12,411525.06,2466,32.15
East,2023-02-13,119024.57,2499,69.81
West,2023-01-28,300428.5,1778,85.92
North,2023-12-10,210995.34,1137,46.29
South,2023-01-04,243386.4,3884,74.51
East,2023-11-11,104590.47,2396,46.2
West,2023-06-08,176420.43,3479,34.17
North,2023-09-09,166279.52,1866,41.82
South,2023-09-21,144123.08,1853,14.23
East,2023-11-24,271433.94,3195,79.99
West,2023-07-14,145594.62,1859,40.26
North,2023-11-14,357382.33,4629,44.9
South,2023-03-04,381213.08,3048,14.75
East,2023-08-22,224830.64,2155,93.15
West,2023-07-31,389352.11,1659,70.76
North,2023-01-15,306734.42,1406,1.57
South,2023-03-06,242119.48,3396,52.76
East,2023-05-05,320124.37,3958,73.75
West,2023-09-10,339453.52,3084,33.24
North,2023-09-17,324664.7,4544,91.05
South,2023-12-14,304378.47,1000,95.16
East,2023-11-27,442671.89,4898,30.92
West,2023-09-18,127940.5,1467,95.69
North,2023-01-18,419568.76,2383,95.82
South,2023-01-01,435843.88,1502,34.49
East,2023-03-14,282007.29,2623,66.39
West,2023-11-07,111907.91,2495,83.81
North,2023-03-22,202402.83,3490,28.05
South,2023-03-06,490790.14,1417,3.76
East,2023-02-23,318984.28,1203,15.44
West,2023-12-14,187167.36,1002,29.78
North,2023-09-19,243305.64,2271,73.59
South,2023-03-23,100093.44,4582,85.98
East,2023-03-09,190868.77,3568,67.27
West,2023-11-03,157591.2,2736,74.95
North,2023-02-23,353357.07,1277,35.89
South,2023-05-18,481599.76,2068,39.4
East,2023-06-25,246050.7,2788,62.08
West,2023-08-21,211101.12,4720,48.38
North,2023-12-30,402552.29,1798,9.07
South,2023-06-22,443318.42,2908,17.29
East,2023-04-02,289148.4,3394,54.91
West,2023-11-13,159318.15,4019,37.9
North,2023-12-11,116435.75,3132,92.39
South,2023-06-09,285360.67,3543,18.09
East,2023-07-02,244156.02,2946,20.85
West,2023-03-29,304792.57,2647,27.48
North,2023-11-27,308354.33,4529,96.7
South,2023-09-16,119125.42,4991,17.65
East,2023-10-17,419211.86,3545,54.12
West,2023-02-18,413536.71,2692,49.1
North,2023-02-04,131123.35,2743,26.47
South,2023-07-15,451810.34,4337,78.91
East,2023-03-07,493293.14,4982,92.26
West,2023-11-30,190747.54,2037,50.96
North,2023-04-07,208928.77,1347,79.49
South,2023-11-30,229440.33,1135,18.52
East,2023-12-08,150549.42,3383,37.53
West,2023-03-01,236312.61,3848,26.0
North,2023-08-06,325526.52,3398,49.25
South,2023-12-21,271357.13,4903,80.5
East,2023-07-25,142194.9,3753,69.26
West,2023-11-11,201614.23,4589,99.21
North,2023-10-04,309492.13,1194,73.61
South,2023-03-23,414345.44,4009,15.44
East,2023-07-07,227022.74,1799,75.88
West,2023-10-09,438630.6,3519,15.67
North,2023-11-26,310898.11,2210,40.85
South,2023-07-09,122111.7,2584,8.82
East,2023-03-10,128214.87,1396,12.39
West,2023-03-14,133400.0,1471,46.67
North,2023-04-02,488389.45,1935,9.48
South,2023-06-15,408288.11,4833,45.47
East,2023-01-05,367820.76,2280,2.18
West,2023-05-01,116160.03,1573,42.99
North,2023-11-30,403238.45,4412,56.53
South,2023-02-07,135830.62,4017,0.34
East,2023-10-10,145869.81,2203,18.33
West,2023-05-27,310757.76,2346,70.08
North,2023-05-09,482485.38,4435,9.42
South,2023-06-30,323034.74,3236,66.38
East,2023-05-15,194644.41,1018,54.45
West,2023-11-02,112174.53,2531,20.24
North,2023-04-11,154287.92,4937,30.18
South,2023-05-15,302210.71,3017,93.03
East,2023-05-27,194351.65,3741,98.26
West,2023-05-30,227643.09,4435,56.43
North,2023-09-19,267353.0,2033,11.19
South,2023-08-21,135386.17,4606,93.3
East,2023-07-24,256112.52,2764,97.27
West,2023-01-01,403031.11,4197,95.07
North,2023-11-03,455916.68,4479,13.62
South,2023-05-19,181735.48,3219,32.48
East,2023-04-05,473188.76,1996,82.48
West,2023-06-24,402530.02,2908,88.14
North,2023-09-17,324272.66,4786,63.18
South,2023-10-31,266972.15,3389,57.45
East,2023-09-19,263873.41,3026,49.1
West,2023-07-30,254634.47,1628,20.41
North,2023-12-21,143984.57,2852,56.62
South,2023-05-01,330299.85,4461,84.48
East,2023-10-16,364024.61,4287,10.31
West,2023-02-15,191279.93,3186,1.47
North,2023-05-06,250054.26,1572,58.8
South,2023-02-17,174744.99,1894,13.65
East,2023-12-29,407249.47,4603,78.8
West,2023-04-27,153796.06,4856,20.48
North,2023-11-15,389368.98,2679,44.25
South,2023-06-19,456828.43,1750,51.03
East,2023-09-04,289806.13,4375,75.09
West,2023-01-13,243638.27,4764,31.9
North,2023-02-19,287736.79,4520,18.77
South,2023-11-11,198072.3,4540,66.58
East,2023-03-18,211915.64,4729,60.81
West,2023-10-23,237248.17,1760,96.3
North,2023-03-12,265200.11,3774,72.55
South,2023-01-13,384449.53,1517,88.69
East,2023-05-15,420061.35,4208,29.8
West,2023-03-04,297057.99,2045,26.66
North,2023-04-07,382220.95,2534,1.14
South,2024-01-01,147883.77,1761,0.58
East,2023-01-19,280534.67,3320,48.94
West,2023-03-04,208119.54,2126,51.34
North,2023-05-21,388086.68,3836,30.01
South,2023-03-25,392739.19,4653,55.2
East,2023-01-03,401586.7,1812,26.01
West,2023-08-10,303690.79,3496,62.89
North,2023-09-15,326828.55,2142,28.38
South,2023-08-10,360861.69,2860,98.15
East,2023-09-23,224759.72,2145,34.66
West,2023-07-25,448679.1,3614,27.6
North,2023-10-23,136261.09,3273,42.53
South,2023-02-12,166012.34,4011,14.73
East,2023-04-18,379545.21,2835,46.08
West,2023-07-15,225782.04,4584,44.49
North,2023-01-31,474992.01,2609,57.05
South,2023-12-12,230297.69,2345,66.89
East,2023-02-05,105561.61,2200,16.02
West,2023-07-03,396294.96,4025,42.12
North,2023-10-06,330164.22,1146,71.15
South,2023-02-23,136500.89,1629,18.07
East,2023-11-06,322817.65,3471,88.38
West,2023-02-20,432192.58,1440,54.09
North,2023-02-12,441564.86,3614,94.85
South,2023-08-14,258770.52,2489,96.41
East,2023-03-20,329455.34,4211,97.11
West,2023-10-04,312585.46,4917,87.48
North,2023-01-20,197372.75,4565,75.59
South,2023-04-15,289596.94,2438,3.4
East,2023-04-27,448436.82,2303,23.02
West,2023-05-20,228440.93,3986,64.23
North,2023-04-28,387727.89,3302,70.51
South,2023-07-30,413529.07,2394,26.24
East,2023-07-13,472742.6,4992,63.5
West,2023-03-04,192367.98,4623,29.92
North,2023-06-04,290714.53,2972,48.37
South,2023-11-08,476632.02,2476,74.77
East,2023-10-02,143849.78,1962,88.79
West,2023-03-07,278825.74,4348,57.63
North,2023-02-18,259394.6,3196,44.6
South,2023-01-18,313895.37,2886,97.91
East,2023-06-09,180464.05,1025,30.72
West,2023-02-16,134788.99,1993,94.58
North,2023-12-20,385191.3,3052,62.93
South,2023-11-02,185056.95,2358,39.58
East,2023-09-23,455935.5,3395,64.78
West,2023-02-22,404288.62,3976,86.25
North,2023-02-25,410882.5,2528,56.58
South,2023-11-08,235497.96,4284,75.97
East,2023-05-20,231032.98,2977,69.62
West,2023-01-28,375985.62,4846,5.78
North,2023-04-24,314623.22,2550,43.96
South,2023-01-01,446920.88,2459,0.86
East,2023-11-17,133482.76,3915,93.71
West,2023-11-21,218727.76,3695,26.02
North,2023-06-16,456672.43,2858,69.08
South,2023-06-02,132950.85,3607,28.92
East,2023-10-19,444806.26,2958,95.43
West,2023-02-16,466960.94,4640,46.42
North,2023-08-12,416904.25,3860,59.41
South,2023-09-03,161829.61,1535,1.08
East,2023-12-24,324566.55,3194,42.96
West,2023-09-12,136089.04,2384,71.62
North,2023-11-12,166788.87,1044,97.66
South,2023-01-17,111689.63,1649,36.32
East,2023-08-27,327518.56,4816,54.34
West,2023-11-08,150351.98,3070,22.48
North,2023-08-27,207774.69,4667,5.02
South,2023-01-27,476498.65,3469,2.44
East,2023-07-27,163122.93,1020,48.65
West,2023-10-22,183773.45,3105,61.06
North,2023-01-10,225317.04,3818,73.05
South,2023-03-09,458184.69,2840,52.78
East,2023-10-03,193331.26,2933,45.77
West,2023-08-15,402238.76,3476,68.24
North,2023-10-07,119862.39,1448,62.18
South,2023-05-14,141360.05,4796,84.7
East,2023-01-31,370898.71,1586,34.55
West,2023-09-09,434630.71,3982,49.16
North,2023-09-11,258769.37,1291,75.34
South,2023-06-19,295056.31,4129,65.53
East,2023-09-23,156114.05,1922,25.48
West,2023-10-24,456152.37,4926,1.78
North,2023-06-20,498639.52,2417,58.62
South,2023-03-22,446357.22,2584,82.22
East,2023-11-10,208544.76,3378,43.89
West,2023-11-23,334738.37,3651,27.38
North,2023-06-24,215322.33,4929,80.24
South,2023-07-26,325389.42,4626,75.06
East,2023-04-11,146077.37,1094,79.98
West,2023-04-19,107623.88,4474,83.11
North,2023-01-08,127356.63,3247,57.53
South,2023-11-25,437119.04,2640,89.99
East,2023-10-24,101703.27,1724,39.79
West,2023-11-04,259898.58,1003,73.37
North,2023-02-17,437706.42,2467,78.55
South,2023-04-28,261920.32,4744,47.09
East,2023-10-20,466004.41,4199,41.13
West,2023-06-08,157639.69,4062,75.5
North,2023-02-08,124297.23,2112,2.43
South,2023-04-27,308879.43,2659,84.08
East,2023-09-29,484883.47,3444,40.96
West,2023-12-28,455778.61,2924,80.64
North,2023-01-20,180106.87,4433,76.91
South,2023-04-11,180866.7,1950,9.94
East,2023-12-24,284266.78,3043,96.07
West,2023-11-29,141997.02,4226,81.23
North,2023-09-04,261931.47,4578,59.11
South,2023-05-18,386800.44,3433,63.19
East,2023-01-16,133514.32,3172,36.97
West,2023-03-26,430137.14,3237,96.78
North,2023-03-12,477848.71,4326,62.82
South,2023-04-24,214939.03,3854,7.22
East,2023-03-07,126840.38,4988,59.92
West,2023-12-15,368715.68,4582,77.58
North,2023-10-10,383685.45,2765,51.72
South,2023-06-30,137461.01,3743,15.3
East,2023-07-26,359962.04,4724,48.45
West,2023-03-19,149349.61,1578,11.72
North,2023-06-21,405347.48,1513,82.24
South,2023-10-16,158096.04,1853,88.02
East,2023-10-29,497830.3,2668,16.03
West,2023-11-03,458571.68,1450,42.58
North,2023-12-23,415300.54,2077,20.79
South,2023-05-20,470139.56,3780,65.04
East,2023-12-31,494278.17,3804,51.43
West,2023-06-24,219136.74,3637,59.42
North,2023-04-08,193391.06,3014,74.82
South,2023-10-17,205349.57,1025,42.17
East,2023-05-30,224460.7,4085,84.97
West,2023-04-19,357256.22,1262,30.74
North,2023-11-22,139280.54,3058,5.08
South,2023-08-24,454356.2,1289,68.3
East,2023-09-08,408686.16,3761,53.52
West,2023-02-20,462928.22,2074,30.45
North,2023-09-28,331489.91,3952,15.69
South,2023-10-10,233119.27,1837,46.47
East,2023-03-28,234891.45,4203,8.87
West,2023-10-13,149435.1,4658,21.45
North,2023-02-01,462070.05,1022,41.39
South,2023-07-11,247288.91,1740,66.84
East,2023-06-13,490660.23,4646,32.76
West,2023-05-21,203852.67,4379,83.16
North,2023-07-28,212786.84,2995,17.69
South,2023-12-03,365441.78,1479,97.76
East,2023-02-22,316320.95,1512,88.0
West,2023-05-04,118199.96,4991,70.79
North,2023-06-28,443962.96,1112,34.34
South,2023-11-16,253857.94,2324,67.41
East,2023-09-08,223404.87,1998,61.0
West,2023-12-31,410959.58,4017,68.44
North,2023-03-07,372756.09,3991,38.06
South,2023-01-12,147383.17,1270,56.24
East,2023-06-04,353286.17,2168,10.98
West,2023-06-26,384453.7,1100,9.03
North,2023-03-03,183862.2,2341,11.44
South,2023-06-20,351033.15,1621,55.02
East,2023-06-30,421656.71,4553,4.08
West,2023-10-26,344270.42,4750,52.06
North,2023-08-04,460207.34,1614,72.06
South,2023-10-03,315488.13,3311,27.47
East,2023-01-26,286265.45,3525,30.0
West,2023-12-14,413497.82,1200,30.12
North,2023-10-21,237035.91,3504,44.54
South,2023-10-02,483228.22,3150,43.25
East,2023-05-20,429002.17,3290,32.22
West,2023-06-23,123721.71,2033,13.47
North,2023-10-22,309648.22,1528,87.94
South,2023-04-19,390193.91,4815,35.87
East,2023-07-01,170674.77,2783,17.41
West,2023-04-18,157772.16,4116,38.65
North,2023-05-29,489344.79,2167,28.28
South,2023-09-06,463635.08,4554,38.99
East,2023-07-17,271494.25,1154,54.39
West,2023-03-26,149625.58,1048,80.23
North,2023-05-07,475387.57,3508,56.9
South,2023-05-21,413212.66,4908,22.27
East,2023-02-23,181813.31,4961,77.55
West,2023-11-25,302777.76,1001,13.43
North,2023-09-09,484155.5,3967,6.12
South,2023-07-14,391233.2,3980,84.9
East,2023-07-18,233141.57,4940,69.15
West,2023-01-21,464940.2,1232,1.02
North,2023-11-12,472098.84,4007,77.53
South,2023-01-20,170923.75,1732,68.19
East,2023-01-05,330177.32,3061,67.32
West,2023-03-10,239273.14,2437,69.23
North,2023-09-14,420436.1,4422,13.52
South,2023-03-17,317646.57,1724,2.75
East,2023-04-23,403240.57,2614,66.14
West,2023-05-06,257571.46,1560,66.44
North,2023-10-14,164340.13,4976,60.34
South,2023-04-19,406910.7,2246,20.27
East,2023-05-21,323082.82,2713,38.04
West,2023-12-03,137177.04,2896,80.81
North,2023-03-31,113949.17,3815,4.11
South,2023-06-06,134339.52,4965,32.41
East,2023-10-08,105167.98,1770,39.73
West,2023-03-29,197208.99,3787,32.84
North,2023-04-16,215903.37,3146,21.67
South,2023-04-09,386302.36,4054,37.69
East,2023-11-26,278040.23,1474,41.28
West,2023-12-02,249689.76,2032,57.74
North,2023-10-29,426686.32,4002,91.84
South,2023-05-06,325188.66,1667,65.12
East,2023-04-21,330392.73,3232,93.36
West,2023-02-13,128497.73,1403,81.48
North,2023-12-29,431414.7,4496,75.54
South,2023-03-28,326490.99,1162,32.45
East,2023-01-07,280302.66,1931,70.6
West,2023-11-01,286500.67,4357,78.11
North,2023-08-07,471999.14,3533,47.43
South,2023-04-24,178131.47,3904,14.35
East,2023-05-15,110714.57,2215,39.49
West,2023-08-02,347720.14,2633,3.72
North,2023-01-25,178683.65,4088,74.84
South,2023-02-06,168259.24,3084,47.68
East,2023-08-17,423336.67,2986,80.76
West,2023-11-22,217860.98,4381,60.32
North,2023-01-18,398778.18,4157,61.76
South,2023-09-06,478346.25,3331,87.16
East,2023-09-18,305016.53,2900,91.68
West,2023-05-27,195965.76,2827,12.72
North,2023-07-04,434668.46,3961,28.65
South,2023-10-17,437952.56,2261,12.92
East,2023-02-04,229532.29,2052,15.62
West,2023-06-15,190219.43,3645,17.66
North,2023-09-11,108657.63,1215,76.92
South,2023-11-17,249599.65,3430,58.37
East,2023-10-10,175668.32,1676,75.72
West,2023-08-12,273675.66,1526,40.16
North,2023-03-19,415462.86,2695,10.61
South,2023-12-31,252939.47,4129,4.67
East,2023-02-09,317269.0,1322,1.79
West,2023-08-04,291188.97,1545,80.51
North,2023-09-11,457135.34,1904,58.31
South,2023-10-07,447105.53,3677,6.22
East,2023-06-25,148580.05,2484,77.43
West,2023-03-29,181520.33,3131,53.73
North,2023-08-22,123877.42,3137,14.88
South,2023-08-03,399965.92,3459,15.81
East,2023-09-11,171603.59,2525,46.8
West,2023-07-08,114169.45,4926,54.46
North,2023-11-05,344188.07,1847,12.26
South,2023-10-12,429618.1,4528,50.48
East,2023-02-22,496190.72,2900,18.8
West,2023-10-31,433726.65,1402,79.76
North,2023-05-12,335225.67,1907,56.45
South,2023-09-11,205452.16,2643,64.73
East,2023-10-16,391602.27,2866,83.72
West,2023-01-05,470864.05,4459,92.8
North,2023-03-31,293198.92,3803,66.09
South,2023-08-10,414146.9,1277,46.78
East,2023-02-06,151672.42,4118,50.49
West,2023-03-28,205337.4,3469,78.14
North,2023-01-06,295878.26,3570,3.49
South,2023-01-28,216599.25,3269,27.75
East,2023-08-02,434270.12,4689,17.83
West,2023-08-27,479705.92,3416,47.03
North,2023-11-05,314770.48,4498,64.38
South,2023-05-23,480527.81,2247,33.67
East,2023-07-20,467782.38,4773,62.78
West,2023-08-06,410856.41,4613,12.9
North,2023-09-23,497162.0,1235,63.91
South,2023-11-15,304046.78,3247,12.67
East,2023-03-05,460363.68,3279,33.57
West,2023-11-30,409828.63,1725,19.26
North,2023-02-13,130596.44,4299,92.2
South,2023-03-18,377907.26,3106,94.14
East,2023-02-11,337486.29,3695,71.3
West,2023-05-03,470242.84,3376,25.66
North,2023-09-25,180097.86,4890,20.3
South,2023-05-07,282992.88,1547,39.29
East,2023-11-27,425982.32,1074,14.68
West,2023-01-26,450229.76,4559,0.16
North,2023-01-23,107478.21,2313,98.12
South,2023-03-09,465262.02,4293,19.6
East,2023-03-08,263830.36,2363,1.18
West,2023-01-07,254354.64,1562,20.31
North,2023-03-22,464562.63,2615,77.6
South,2023-11-20,135196.22,2280,38.93
East,2023-12-18,242786.78,4157,96.3
West,2023-06-02,263320.9,3177,88.13
North,2023-07-04,418771.66,3956,79.74
South,2023-01-03,489788.94,1160,49.04
East,2023-10-07,228169.85,4226,12.62
West,2023-01-08,331154.28,1292,83.79
North,2023-01-21,421988.88,1203,15.92
South,2023-08-19,469050.59,1393,8.48
East,2023-07-05,273011.24,4246,61.2
West,2023-02-15,101555.81,4850,8.6
North,2023-07-12,182879.42,1865,47.74
South,2023-12-29,468956.08,3021,57.51
East,2023-02-15,419843.39,4341,51.6
West,2023-01-09,212977.3,3236,87.69
North,2023-08-22,386045.53,4098,70.05
South,2023-05-26,276828.93,3418,92.18
East,2023-02-02,498507.99,3474,20.09
West,2023-04-30,379445.56,3991,45.97
North,2023-01-08,475687.91,1696,49.65
South,2023-03-18,208988.45,4744,69.81
East,2023-01-27,153198.31,4557,7.26
West,2023-10-31,228849.25,1294,45.14
North,2023-06-02,424784.75,3578,34.02
South,2023-03-06,385498.49,2653,71.65
East,2023-02-12,238345.31,4968,75.37
West,2023-04-27,285743.31,3074,86.5
North,2023-01-01,192491.44,3891,62.42
South,2023-03-10,373699.66,4321,66.2
East,2023-01-19,225541.9,1003,93.47
West,2023-02-22,443365.01,2390,70.31
North,2023-08-25,367120.41,4171,25.57
South,2023-06-09,425411.77,1535,37.81
East,2023-02-11,407057.23,1803,97.5
West,2023-09-28,342912.38,1135,94.0
North,2023-02-20,326317.53,3789,96.43
South,2023-10-12,219791.75,3159,44.62
East,2023-12-26,476371.56,1178,84.63
West,2023-04-23,455981.65,3560,10.49
North,2023-10-28,268460.62,3869,50.12
South,2023-02-06,351966.41,2346,72.75
East,2023-10-24,262172.07,3672,15.27
West,2023-02-11,313200.44,4020,39.23
North,2023-10-08,166141.39,1678,91.91
South,2023-04-11,167862.59,4025,11.51
East,2023-02-12,161915.78,3990,68.22
West,2023-09-24,104752.6,4818,14.31
North,2023-05-06,332436.87,4177,29.56
South,2023-01-20,357554.66,4048,53.57
East,2023-08-01,151007.77,1309,69.49
West,2023-09-11,248735.7,1913,91.78
North,2023-04-30,252476.53,2418,50.61
South,2023-02-22,279275.64,4419,30.73
East,2023-08-30,185896.36,4461,22.33
West,2023-03-08,356519.7,1633,99.71
North,2023-08-01,292798.7,4697,60.42
South,2023-07-23,396429.9,1861,28.01
East,2023-04-20,362522.23,3680,90.33
West,2023-07-28,346344.52,2282,74.73
North,2023-04-01,458886.21,1129,1.12
South,2023-05-26,321260.79,4003,99.45
East,2023-01-07,355487.59,2814,94.52
West,2023-03-12,304873.18,2424,89.68
North,2023-11-09,363746.37,3135,50.1
South,2023-04-09,116493.02,1616,20.99
East,2023-05-14,468297.14,2920,23.22
West,2023-12-03,151119.49,3045,3.61
North,2023-02-28,296054.84,3401,6.67
South,2023-10-05,297449.47,2625,54.08
East,2023-07-18,269568.24,2491,94.87
West,2023-12-14,367405.32,4304,36.75
North,2023-08-04,171905.48,1257,13.33
South,2023-08-08,353667.21,2148,17.8
East,2023-07-06,289321.56,1566,9.76
West,2023-01-01,184211.21,4573,98.4
North,2023-08-12,398811.8,2237,35.19
South,2023-12-06,438727.08,4453,2.48
East,2023-03-01,225701.95,3332,90.5
West,2023-03-11,325312.11,2455,85.04
North,2023-07-24,394750.81,2942,51.27
South,2023-06-16,121061.51,2780,87.97
East,2023-08-28,404874.07,1545,38.15
West,2023-10-29,450741.22,2107,63.94
North,2023-04-03,320958.62,3931,20.58
South,2023-01-18,217382.91,4369,87.47
East,2023-06-13,107250.55,1140,46.97
West,2023-05-15,322922.92,3475,55.64
North,2023-01-24,187606.91,1629,8.86
South,2023-08-08,308655.53,4920,37.72
East,2023-09-13,359730.0,2564,64.28
West,2023-08-06,180940.21,4943,28.77
North,2023-12-15,469414.86,2070,70.91
South,2023-01-19,222726.23,1111,21.72
East,2023-03-11,209479.99,2650,18.13
West,2023-04-08,477021.04,1677,52.87
North,2023-03-08,457051.85,1693,60.41
South,2023-08-18,342682.7,1292,80.39
East,2023-11-11,447381.14,2493,6.68
West,2023-03-06,416858.93,2437,84.66
North,2023-10-25,120619.45,2104,0.09
South,2023-03-26,411865.29,1383,23.66
East,2023-03-13,494647.17,3223,44.9
West,2023-02-26,461900.16,4380,62.59
North,2023-10-11,102733.03,3237,59.98
South,2023-04-22,181985.38,4066,7.3
East,2023-09-16,254142.2,2422,35.72
West,2023-07-31,110402.08,2919,69.86
North,2023-01-18,179083.01,4615,66.54
South,2023-07-02,285438.24,1804,21.07
East,2023-09-19,155371.64,3552,40.83
West,2023-11-17,322161.89,2751,35.23
North,2023-04-27,303041.59,4743,55.88
South,2023-02-05,378723.73,2464,2.58
East,2023-10-19,360530.36,1561,62.89
West,2023-05-30,445770.13,1827,45.87
North,2023-12-31,474986.1,2477,39.81
South,2023-03-09,319595.89,3252,65.68
East,2023-07-24,427968.87,3369,56.28
West,2023-08-30,494788.64,4109,92.87
North,2023-03-01,386701.84,4625,96.31
South,2023-11-17,205102.69,3628,26.85
